ZJba,IRPF5YdtK7I,"[5, 16, 1027, 1903]",
4YlN,dnqvHOS0uUM,"[0, 1, 63, 336]","[{'text': 'so the greatest fixture on the', 'start': 46.06, 'duration': 6.22}, {'text': 'footballing calendar maybe it is el gran', 'start': 48.68, 'duration': 6.84}, {'text': ""classico notice I'm your commentator"", 'start': 52.28, 'duration': 5.76}, {'text': 'john champion and summarizing here with', 'start': 55.52, 'duration': 4.95}, {'text': ""me is Jim Begley hi John it's brilliant"", 'start': 58.04, 'duration': 3.54}, {'text': 'to be here with this fantastic', 'start': 60.47, 'duration': 4.19}, {'text': ""atmosphere I think we're in for a treat"", 'start': 61.58, 'duration': 6.66}, {'text': ""the team's then real madrid against"", 'start': 64.66, 'duration': 9.21}, {'text': 'barcelona we are off and running', 'start': 68.24, 'duration': 5.63}, {'text': 'read it well', 'start': 80.32, 'duration': 3.11}, {'text': ""through and still going here's a chance"", 'start': 85.72, 'duration': 5.87}, {'text': 'cristiano ronaldo mesut özil Marcelo', 'start': 93.85, 'duration': 9.27}, {'text': 'McGuane Patera', 'start': 105.05, 'duration': 4.22}, {'text': 'chance and the chance accepted with', 'start': 109.96, 'duration': 7.199}, {'text': 'summer prom that really puts them in', 'start': 114.34, 'duration': 7.11}, {'text': 'charge early on us the star dreams are', 'start': 117.159, 'duration': 5.971}, {'text': 'made of and that has to give them great', 'start': 121.45, 'duration': 4.91}, {'text': ""companies for what's the cover"", 'start': 123.13, 'duration': 3.23}]"
XxlN,AGdi9MxNEms,[8],
VplN,Xw6chP_C99c,[2],
G0lN,Y4UIaHonUGE,"[2, 76, 281]",
QblN,Y5dAfc5lFmE,"[2, 44, 138, 186]",
TDlN,u29XZwEDK2U,"[0, 63, 336, 436]",
0glN,4Kx1psfplko,"[15, 18, 59, 126, 178, 1661]",
FQlN,4LZMixFSaWs,"[3, 6]",
W2lN,4RAUPqb37PY,[53],
AHlN,t9MS2NUzNe8,[14],
36lN,,[0],
ZhlN,QJWJEp5Cs5E,"[2, 7, 17, 19, 394]",
VclN,jT3X5DFkJLI,[3],
fElN,jVpAXsowpCY,"[11, 250]",
XWlN,tNkPmlTgjr8,"[146, 158, 279, 439, 454]",
3flN,tScMhU2P9Zc,"[155, 264, 3090]",
yslN,Fv9CXfQI248,"[0, 5, 759]",
qGlN,FxRo4EMiJIQ,"[0, 79]","[{'text': 'Jack parties wondering he has been', 'start': 3.18, 'duration': 5.32}, {'text': 'through so many games the long playing', 'start': 6.76, 'duration': 3.36}, {'text': ""career long coaching career he's"", 'start': 8.5, 'duration': 2.49}, {'text': ""wondering if it's going to be one of"", 'start': 10.12, 'duration': 3.0}, {'text': 'those days and the Vagabond in-house', 'start': 10.99, 'duration': 4.38}, {'text': 'field has had tryouts with seven NFL', 'start': 13.12, 'duration': 4.01}, {'text': 'teams finally sticking with the Oilers', 'start': 15.37, 'duration': 6.86}, {'text': 'attempting a 28 yard pick to tie it up', 'start': 17.13, 'duration': 5.1}, {'text': ""it's perfect so Ian how field is tied it"", 'start': 22.68, 'duration': 7.33}, {'text': ""up it's 3-3 with 235 remaining in the"", 'start': 27.16, 'duration': 6.109}, {'text': 'first quarter from Foxborough', 'start': 30.01, 'duration': 3.259}, {'text': 'their lights in here', 'start': 44.25, 'duration': 3.559}, {'text': 'Brian how Theo will tee it up he and J', 'start': 53.07, 'duration': 4.6}, {'text': 'sister offski has exchanged field goals', 'start': 55.69, 'duration': 4.89}, {'text': 'and Sammy Martin back deep along with', 'start': 57.67, 'duration': 5.61}, {'text': ""John Vaughn for New England was Ian's"", 'start': 60.58, 'duration': 4.83}, {'text': 'father played was a kicker for the', 'start': 63.28, 'duration': 3.66}, {'text': 'Broncos and it was dick McPherson the', 'start': 65.41, 'duration': 3.0}, {'text': 'head coach the Patriots who was in what', 'start': 66.94, 'duration': 3.27}, {'text': 'the Broncos was responsible for getting', 'start': 68.41, 'duration': 3.45}, {'text': 'and he gave getting his dad with the', 'start': 70.21, 'duration': 3.6}, {'text': 'team Bobby how feel the kick for the', 'start': 71.86, 'duration': 3.56}, {'text': 'Broncos and the Jets', 'start': 73.81, 'duration': 14.46}, {'text': 'in the end zone no run by 2038 yard', 'start': 75.42, 'duration': 16.77}, {'text': 'attempt coming up from Ian Howe field', 'start': 88.27, 'duration': 3.92}, {'text': 'seals pick is good his second goal of', 'start': 96.38, 'duration': 5.08}, {'text': 'the game is he finds from 38 yards out', 'start': 99.21, 'duration': 6.54}, {'text': 'to make it 10 to 6 New England he', 'start': 101.46, 'duration': 6.42}, {'text': 'started the story earlier about how dick', 'start': 105.75, 'duration': 4.77}, {'text': 'McPherson was responsible for Bobby how', 'start': 107.88, 'duration': 4.59}, {'text': ""field Ian's father becoming a Bronco"", 'start': 110.52, 'duration': 5.01}, {'text': 'just to complete that thought bobby was', 'start': 112.47, 'duration': 5.16}, {'text': ""in Kansas City he wasn't with the Chiefs"", 'start': 115.53, 'duration': 3.42}, {'text': 'he was just kind of hanging around their', 'start': 117.63, 'duration': 3.42}, {'text': 'locker room after a game in which the', 'start': 118.95, 'duration': 3.93}, {'text': 'Chiefs blew out the Denver Broncos dick', 'start': 121.05, 'duration': 3.51}, {'text': 'McPherson was a coach should assist a', 'start': 122.88, 'duration': 3.18}, {'text': 'coach at the time with Denver and as', 'start': 124.56, 'duration': 2.97}, {'text': 'they were getting on the bus to go back', 'start': 126.06, 'duration': 3.39}, {'text': 'to Denver he put his arm around Bobby', 'start': 127.53, 'duration': 4.71}, {'text': 'how field pushed him onto the bus they', 'start': 129.45, 'duration': 4.08}, {'text': 'drove in Denver and he became the', 'start': 132.24, 'duration': 4.11}, {'text': 'Broncos kicker for many years and so', 'start': 133.53, 'duration': 5.28}, {'text': ""e'en following in the family in the line"", 'start': 136.35, 'duration': 5.16}, {'text': ""of work he's getting his kicks in the"", 'start': 138.81, 'duration': 13.35}, {'text': ""NFL to 2 for 2 today or it's been"", 'start': 141.51, 'duration': 14.65}, {'text': 'intercepted this time finds its mark', 'start': 152.16, 'duration': 5.77}, {'text': 'and import an extra point by and how', 'start': 156.16, 'duration': 5.09}, {'text': 'field who has missed one this year', 'start': 157.93, 'duration': 7.19}, {'text': ""he's got this one and with 919 romantic"", 'start': 161.25, 'duration': 5.64}, {'text': ""in the fourth quarter in lay it's New"", 'start': 165.12, 'duration': 16.14}, {'text': 'England 17 and Houston 13 Mel Proctor', 'start': 166.89, 'duration': 15.84}, {'text': 'with Jim last the Vick back in', 'start': 181.26, 'duration': 3.6}, {'text': 'Foxborough with 919 remaining in the', 'start': 182.73, 'duration': 4.56}, {'text': ""fourth quarter New England 1817 d'etre"", 'start': 184.86, 'duration': 5.87}, {'text': 'is he in how field kicks off', 'start': 187.29, 'duration': 3.44}, {'text': 'sharing work world', 'start': 191.59, 'duration': 3.08}, {'text': ""let's cry but the Fram ten minute ticker"", 'start': 196.25, 'duration': 12.54}, {'text': 'but fruitful at this point in how filled', 'start': 212.42, 'duration': 9.97}, {'text': ""in to try to make it 22:17 there's been"", 'start': 215.76, 'duration': 10.86}, {'text': 'trouble most of the day engineers on', 'start': 222.39, 'duration': 6.3}, {'text': 'Warren Moon the running of Lorenzo white', 'start': 226.62, 'duration': 4.14}, {'text': ""they've taken the lead one to seventeen"", 'start': 228.69, 'duration': 4.47}, {'text': 'of a minute 52 long and I think they', 'start': 230.76, 'duration': 3.72}, {'text': 'started to be successful when they', 'start': 233.16, 'duration': 3.9}, {'text': 'started to show some patience for a long', 'start': 234.48, 'duration': 5.55}, {'text': 'time with a very businesslike and I', 'start': 237.06, 'duration': 5.37}, {'text': 'think a reflection of its coach and the', 'start': 240.03, 'duration': 4.5}, {'text': 'same across the sidelines at the', 'start': 242.43, 'duration': 3.809}, {'text': 'Patriots who are hitting some of that', 'start': 244.53, 'duration': 4.709}, {'text': 'enthusiasm that Dickerson has brought to', 'start': 246.239, 'duration': 7.321}, {'text': 'this unit wait a minute 52 remaining', 'start': 249.239, 'duration': 8.28}, {'text': ""it's 22 17 Houston warmoon connecting"", 'start': 253.56, 'duration': 7.079}, {'text': 'twice with Duncan on touchdowns and Ian', 'start': 257.519, 'duration': 4.951}, {'text': 'how field kicking off - Sammy Martin and', 'start': 260.639, 'duration': 4.34}, {'text': 'John Barr', 'start': 262.47, 'duration': 2.509}, {'text': ""with coverage by the Oilers is he's"", 'start': 271.98, 'duration': 4.71}, {'text': 'brought down to 16 yard line by Marcus', 'start': 274.38, 'duration': 4.85}, {'text': 'Robertson', 'start': 276.69, 'duration': 2.54}]"
FplN,KjXRaWiSpvI,"[0, 1, 63, 203, 335]",
NRlN,KvVOw2TSKDI,"[0, 1, 69, 193, 417, 3379]",
B3lN,Kv0kHC3zbkg,"[0, 3004]",
iYlN,9B9Rc8t-f8I,"[0, 1, 5, 613, 738]",
ZmlN,9CelJW11X-M,"[0, 1, 319]",
fzlN,9QqTOwknoiY,"[0, 1, 21, 23, 73, 288, 322]","[{'text': 'hi guys have you ever wanted to make', 'start': 0.38, 'duration': 5.56}, {'text': 'your ipod of a theme or look something', 'start': 3.899, 'duration': 5.28}, {'text': 'like this get free apps be able to view', 'start': 5.94, 'duration': 5.699}, {'text': 'your ipod on your computer well now you', 'start': 9.179, 'duration': 6.12}, {'text': 'can if you jailbreak it all you need is', 'start': 11.639, 'duration': 9.06}, {'text': 'black ring itunes and an ipod touch 2nd', 'start': 15.299, 'duration': 7.32}, {'text': ""or 1st generation i'd recommend not"", 'start': 20.699, 'duration': 5.191}, {'text': 'doing this on third because you have', 'start': 22.619, 'duration': 5.49}, {'text': ""it's a tethered now i'm going to go over"", 'start': 25.89, 'duration': 6.119}, {'text': 'the pros and cons of this because there', 'start': 28.109, 'duration': 7.651}, {'text': 'is some cause that you really want to be', 'start': 32.009, 'duration': 17.48}, {'text': 'aware of first con is lower battery life', 'start': 35.76, 'duration': 13.729}, {'text': 'second con breaks your why warranty', 'start': 52.879, 'duration': 13.68}, {'text': ""that's about it that I'd oh I mean yeah"", 'start': 68.81, 'duration': 6.73}, {'text': 'there will be some cons it oh yeah and', 'start': 73.47, 'duration': 4.289}, {'text': 'it slows down kind of a lot in your', 'start': 75.54, 'duration': 3.81}, {'text': ""battery life doesn't get shortened and"", 'start': 77.759, 'duration': 3.271}, {'text': ""but if you don't have anything you want"", 'start': 79.35, 'duration': 4.98}, {'text': 'to speed it down that much of it you can', 'start': 81.03, 'duration': 8.28}, {'text': ""see like yeah but it's mostly I did it"", 'start': 84.33, 'duration': 6.84}, {'text': ""because it's great I would completely"", 'start': 89.31, 'duration': 5.4}, {'text': 'recommend doing this so now a jailbreak', 'start': 91.17, 'duration': 6.03}, {'text': ""it first you're going to want run"", 'start': 94.71, 'duration': 6.24}, {'text': ""blackrain and you're going to click this"", 'start': 97.2, 'duration': 6.18}, {'text': ""right here and I'm not going to do it"", 'start': 100.95, 'duration': 4.5}, {'text': ""because it'll show my ipod off or"", 'start': 103.38, 'duration': 4.65}, {'text': ""restart it after it's done and you"", 'start': 105.45, 'duration': 7.55}, {'text': 'should see a picture of GL hot face', 'start': 108.03, 'duration': 4.97}, {'text': ""ok and now if it didn't work which it"", 'start': 117.68, 'duration': 6.19}, {'text': ""didn't work for me my first try like"", 'start': 121.98, 'duration': 5.37}, {'text': ""that you're going to go into here and"", 'start': 123.87, 'duration': 5.49}, {'text': ""you're going to find your ipod we're not"", 'start': 127.35, 'duration': 6.3}, {'text': ""going to do this right now then you're"", 'start': 129.36, 'duration': 5.73}, {'text': ""out of your ipod touch and you're going"", 'start': 133.65, 'duration': 4.5}, {'text': 'to click restore right here but you want', 'start': 135.09, 'duration': 4.83}, {'text': 'to make sure you have all your music and', 'start': 138.15, 'duration': 6.36}, {'text': 'stuff store it and stuff your movies all', 'start': 139.92, 'duration': 8.85}, {'text': ""that stuff podcast then you're going to"", 'start': 144.51, 'duration': 6.12}, {'text': ""click restore and don't restore it to"", 'start': 148.77, 'duration': 4.47}, {'text': ""its original firmware and then you're"", 'start': 150.63, 'duration': 3.78}, {'text': ""going to run Walker and then you're"", 'start': 153.24, 'duration': 2.19}, {'text': ""going to send along you're not stuck"", 'start': 154.41, 'duration': 4.68}, {'text': ""yeah I know it's a lot but and don't get"", 'start': 155.43, 'duration': 10.53}, {'text': 'the 3.13 right now because like a lot of', 'start': 159.09, 'duration': 8.46}, {'text': 'things will be compatible with it for a', 'start': 165.96, 'duration': 4.98}, {'text': ""while like a 3 points1 point2 it's still"", 'start': 167.55, 'duration': 6.02}, {'text': 'not a lot of stuff that a little bit', 'start': 170.94, 'duration': 5.85}, {'text': ""yeah so you're gonna do all that once"", 'start': 173.57, 'duration': 5.35}, {'text': ""it's jailbroken you're probably good"", 'start': 176.79, 'duration': 4.59}, {'text': ""you're gonna do it here and you're good"", 'start': 178.92, 'duration': 5.4}, {'text': ""I'm gonna shave it good apps to get and"", 'start': 181.38, 'duration': 6.0}, {'text': 'how to get the sources form if you', 'start': 184.32, 'duration': 9.51}, {'text': 'jailbreak successfully you will have', 'start': 187.38, 'duration': 12.57}, {'text': 'this not this theme but there will be', 'start': 193.83, 'duration': 13.939}, {'text': ""your um it'll there'll be an app called"", 'start': 199.95, 'duration': 10.68}, {'text': ""this right here it'll say black rain"", 'start': 207.769, 'duration': 4.601}, {'text': ""it'll be on the second page will be"", 'start': 210.63, 'duration': 3.45}, {'text': ""usually right here you're going to click"", 'start': 212.37, 'duration': 6.839}, {'text': 'on it now sitting here is slow I like', 'start': 214.08, 'duration': 7.17}, {'text': ""rock I know I'm going to get horrible"", 'start': 219.209, 'duration': 3.991}, {'text': 'comments about that but rock is better', 'start': 221.25, 'duration': 3.48}, {'text': ""but get both of them because they're"", 'start': 223.2, 'duration': 5.31}, {'text': ""both good and then you're going to get"", 'start': 224.73, 'duration': 6.289}, {'text': 'out of that', 'start': 228.51, 'duration': 2.509}, {'text': 'and then you should have rock and cydia', 'start': 232.63, 'duration': 4.99}, {'text': ""now I'm going to go into rock and show"", 'start': 235.0, 'duration': 5.02}, {'text': 'you how to get a winterboard which is', 'start': 237.62, 'duration': 5.66}, {'text': 'your how you get themes', 'start': 240.02, 'duration': 3.26}, {'text': 'you go to search', 'start': 251.99, 'duration': 3.5}, {'text': ""and here you're going to type in w I and"", 'start': 257.88, 'duration': 15.93}, {'text': ""t e r b 0 r d then there's going to be a"", 'start': 264.11, 'duration': 12.25}, {'text': 'lot of stuff because all the things are', 'start': 273.81, 'duration': 5.64}, {'text': ""in here too you don't wait for it to"", 'start': 276.36, 'duration': 6.33}, {'text': ""load real quick and now you're going to"", 'start': 279.45, 'duration': 9.42}, {'text': ""go down to the w's see and then you're"", 'start': 282.69, 'duration': 7.5}, {'text': 'going to click on winter word this one', 'start': 288.87, 'duration': 3.51}, {'text': ""right here with a snow icon I'm going to"", 'start': 290.19, 'duration': 7.5}, {'text': 'click on it and in the comments if you', 'start': 292.38, 'duration': 6.93}, {'text': 'all need to do a video on how to do this', 'start': 297.69, 'duration': 4.17}, {'text': 'in cydia I will be happy to do that', 'start': 299.31, 'duration': 4.68}, {'text': ""you're going to click install which will"", 'start': 301.86, 'duration': 4.89}, {'text': 'be somewhere in this area and now once', 'start': 303.99, 'duration': 7.35}, {'text': ""it'll be installed you could add things"", 'start': 306.75, 'duration': 6.36}, {'text': ""to your ipod and but you're gonna have"", 'start': 311.34, 'duration': 3.54}, {'text': 'to go into city and rock to look for the', 'start': 313.11, 'duration': 3.36}, {'text': 'things where you can make your own all', 'start': 314.88, 'duration': 3.8}, {'text': 'be making videos of that in the future', 'start': 316.47, 'duration': 8.82}, {'text': 'of how to do that okay so yeah this is', 'start': 318.68, 'duration': 10.48}, {'text': 'what my theme is right now a boot to', 'start': 325.29, 'duration': 9.75}, {'text': ""theme um this is what you're bored with"", 'start': 329.16, 'duration': 9.33}, {'text': 'it looks like see what you download will', 'start': 335.04, 'duration': 5.67}, {'text': 'go into here then you got to click on it', 'start': 338.49, 'duration': 5.03}, {'text': 'to activate it', 'start': 340.71, 'duration': 2.81}, {'text': 'he then you could set like custom stuff', 'start': 344.65, 'duration': 4.31}, {'text': 'thank you', 'start': 351.92, 'duration': 2.78}, {'text': 'you', 'start': 356.26, 'duration': 2.06}]"
